frame,min (um),max (um),mean (um),std (um),var (um)
0,0.001921611226337731,4.17823164754554,2.1387201274929324,0.7717377817653217,0.5955792038040593
1,0.0015482425391837422,3.9356666111267433,2.059077790233955,0.7996996509979521,0.6395195318062465
2,0.10288404928181649,4.091494339751052,2.03933969713491,0.8145433626131372,0.6634808895771167
3,0.0035279134450148784,3.479420120947115,1.9671048249865681,0.7599787743211622,0.577567737418696
4,0.004041050576245291,3.422691345842346,1.8899326924853974,0.7418485646405747,0.550339292859281
5,0.0013278579796616992,3.1283214329608735,1.7464360039881037,0.6343209236872227,0.4023630342274114
6,0.00525204278939422,3.0864658994990903,1.7018447138255268,0.6458268218441005,0.41709228381325153
7,0.004326042195401271,3.3728621993119234,1.6995631793616521,0.644476871781897,0.4153504382617798
8,0.0026741082029184252,3.382968385086592,1.75432775670332,0.7155956846792605,0.5120771839315796
9,0.002630811529580191,3.494041590877646,1.7038546773985543,0.7345612335472829,0.5395802058305059
10,0.0032916654439770275,3.2588592830958754,1.729069515762952,0.700329891595247,0.4904619570618104
11,0.001937001219943318,3.2332299541846274,1.7219247309181438,0.726742849596247,0.5281551694392733
12,0.0008355902726043641,3.261818516066127,1.664737358103889,0.7038038126381391,0.49533980668398075
13,0.0017814792729311606,3.125801434288324,1.6586454772372636,0.7189372994865484,0.516870840593011
14,0.002709110259366273,3.1314710485225667,1.644901258413897,0.7145382888207242,0.5105649661908487
15,0.005129690010224669,3.3232963116792424,1.636716619407902,0.7359121344333478,0.5415666696062458
16,0.0015052724721702879,3.3455432892311676,1.656139115847577,0.7092681676560945,0.5030613336502338
17,0.0014497045848692247,3.3427924972049143,1.6681116294655483,0.7294816834250311,0.5321435264526172
18,0.00037360436668943043,3.5071663318526265,1.66111481158697,0.7412795109200744,0.5494953133099046
