frame,min (deg),max (deg),mean (deg),std (deg),var (deg)
0,9.813834185479209e-05,360.0,43.28140830275008,42.71304865102894,31.841865850670544
1,0.0004316406848374754,359.9992370605469,35.51347609633607,50.17264559179428,43.93507492301455
2,3.0025294108781964e-06,359.9999694824219,43.784291363175655,50.39149287363885,44.31919027219444
3,0.00037535911542363465,359.9999694824219,36.3921914089067,55.71809736569819,54.1838578763829
4,0.0007527202251367271,359.9999084472656,30.52246008022451,63.856827443683834,71.16919336513006
5,0.0005333664012141526,359.9999694824219,34.99370801714794,81.48716339891239,115.89261644105744
6,0.0001535675546620041,359.9999694824219,42.8387525097959,88.51952638872557,136.75887855396329
7,0.00013698736438527703,359.9999694824219,29.26709291995412,88.03361776226562,135.26158335175725
8,2.151382614101749e-05,359.9999694824219,25.796501096850193,83.57750346404266,121.9147229454682
9,0.00011654121044557542,359.9997253417969,18.781743391624534,96.7617448937596,163.41230286861182
10,0.00021206281962804496,359.99993896484375,27.11833816787871,92.4555740086122,149.19132330349393
11,0.0002894633507821709,359.9998779296875,10.934703764502641,95.58984777849268,159.47804665488593
12,5.833157410961576e-05,359.9993591308594,19.91770784327415,100.34585166393269,175.74226289845427
13,5.446620889415499e-06,359.9997863769531,38.71761278588085,95.34877368993075,158.67466541925305
14,0.00022830998932477087,359.99884033203125,26.98231090686719,95.16764797344553,158.07239726496255
15,0.00011639123113127425,359.9998779296875,45.58621663412847,95.68897672071432,159.80898320384551
16,4.533947503659874e-05,359.99908447265625,26.400442279858336,93.86944893835447,153.78922354967554
17,0.00010423016647109762,359.9999694824219,47.94311869327867,86.50744422360191,130.61237615924017
18,0.00028991024009883404,359.9999084472656,42.746733070157596,95.63286689135228,159.621621480355
