frame,min (um),max (um),mean (um),std (um),var (um)
0,0.0021888102236360066,5.659569561587908,2.1340261745356566,0.7696072345990108,0.5922952955471369
1,0.007035553427687507,6.528443920500062,2.0855084572350933,0.8281448522221011,0.6858238962619656
2,0.005677686243819973,5.720572830526552,2.0507794254223293,0.7961544874907421,0.6338619679516463
3,0.002304036311668514,7.910612027259676,1.9781587155309552,0.7653314924567755,0.5857322933461153
4,0.0018091716290352287,6.771279586570388,1.8933803636450495,0.7845106654338051,0.6154569841793918
5,0.00110758128954575,6.631173639841987,1.7703009230625657,0.6687987817668639,0.4472918104928412
6,0.00076606461178496,5.486326285850233,1.7367314258811568,0.6630990242708253,0.4397003159889207
7,0.007854080537311093,7.604922098413894,1.7202704745910087,0.6864123865389317,0.4711619643940717
8,0.0015436335793902686,5.223944321280296,1.7665808875120503,0.7429170384679574,0.5519257260460005
9,0.003466997415381614,5.256398888358581,1.726751029266905,0.7537137432475283,0.568084406760201
10,0.005359311744379787,7.906752385224898,1.7595318632107264,0.7069476130033259,0.49977492753110014
11,0.0018981146249730698,6.605864032318332,1.7637788872367548,0.7557592850955571,0.5711720970081475
12,0.0022504713835572545,6.330099639029714,1.711698669533795,0.7130900817093823,0.5084974646322934
13,0.0012995561342941005,8.591791158944782,1.684314631914273,0.720923489218365,0.519730677306782
14,0.001469940997518538,11.625804722924046,1.6841520930319933,0.7414904778504267,0.5498081287428541
15,0.0009076822230162043,5.9099852062339355,1.642674415279151,0.7510543094271785,0.564082575709136
16,0.0020812868468633025,6.830723183028033,1.694559631369882,0.724540805082987,0.5249593782303029
17,0.001529275393115487,6.277352177860997,1.7094132198106553,0.7414293114613569,0.5497174238940619
18,0.000929784990825455,5.813551640255904,1.6956226476371892,0.7208148061591044,0.5195739847781873
